"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\ActionCanceller.cs", "C#", 126, 3, 37, 166
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\AstronautsSpecial.cs", "C#", 118, 35, 35, 188
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Buttons.cs", "C#", 5, 4, 2, 11
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Enemy.cs", "C#", 17, 6, 7, 30
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Escenarios\Escenario.cs", "C#", 336, 29, 129, 494
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Escenarios\Escenario1.cs", "C#", 32, 0, 6, 38
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Escenarios\Escenario2.cs", "C#", 47, 1, 15, 63
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Escenarios\Escenario3.cs", "C#", 120, 0, 29, 149
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Escenarios\EscenarioCamera.cs", "C#", 93, 1, 18, 112
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Escenarios\EscenarioSaveGame.cs", "C#", 246, 18, 83, 347
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Escenarios\EscenarioSpecials.cs", "C#", 61, 2, 16, 79
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\General.cs", "C#", 101, 39, 35, 175
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\GloboConAgua.cs", "C#", 156, 3, 46, 205
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\GloboConTinta.cs", "C#", 47, 0, 11, 58
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\GloboDeHielo.cs", "C#", 49, 1, 11, 61
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\GloboDeTiempo.cs", "C#", 71, 0, 20, 91
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\GloboTeledirigido.cs", "C#", 73, 1, 22, 96
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\Iman.cs", "C#", 91, 4, 32, 127
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\Lanzaglobos.cs", "C#", 91, 5, 26, 122
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\Platano.cs", "C#", 129, 4, 39, 172
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Herramientas\Teleporter.cs", "C#", 43, 0, 13, 56
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\IPersist.cs", "C#", 6, 0, 2, 8
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Jugador.cs", "C#", 179, 11, 64, 254
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\MovingPlatform.cs", "C#", 53, 1, 14, 68
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Player.cs", "C#", 24, 42, 22, 88
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\ProjectileLauncher.cs", "C#", 134, 2, 42, 178
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Test.cs", "C#", 27, 1, 7, 35
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Throwable.cs", "C#", 40, 5, 14, 59
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\ThrowableTest.cs", "C#", 20, 0, 11, 31
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\Thrower.cs", "C#", 33, 101, 12, 146
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\ThrowerRigidBody.cs", "C#", 82, 49, 21, 152
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\AffirmationScreen.cs", "C#", 92, 0, 21, 113
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\Inventory.cs", "C#", 190, 10, 48, 248
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\InventorySelection.cs", "C#", 201, 14, 65, 280
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\MainMenu.cs", "C#", 58, 0, 34, 92
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\MatchEnding.cs", "C#", 32, 0, 12, 44
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\PauseButton.cs", "C#", 34, 3, 18, 55
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\PauseMenu.cs", "C#", 57, 2, 30, 89
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\ScenerySelection.cs", "C#", 108, 0, 23, 131
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\Settings.cs", "C#", 48, 0, 15, 63
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\TextBox.cs", "C#", 42, 0, 9, 51
"c:\Users\dell\Documents\Godot Projects\Outer Space\scripts\UI\Tutorials.cs", "C#", 147, 0, 37, 184
"Total", "-", 3659, 397, 1153, 5209
